Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1, 175, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 
2, 175, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 
3, 176, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 
4, 176, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 
5, 176, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 
6, 176, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 
7, 176, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 
8, 177, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
9, 177, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
10, 177, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
11, 177, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
12, 177, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
13, 178, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
14, 178, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
15, 178, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
16, 178, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
17, 178, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
18, 179, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 
19, 179, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 
20, 179, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 
21, 179, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 
22, 179, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 
23, 180, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
24, 180, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
25, 180, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
26, 180, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
27, 180, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
28, 181, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 
29, 181, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 
30, 181, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 
31, 181, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 
32, 181, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 
33, 182, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
34, 182, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
35, 182, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
36, 182, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
37, 183, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 
38, 183, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 
39, 183, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 
40, 183, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 
41, 183, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 
42, 184, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
43, 184, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
44, 184, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
45, 184, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
46, 184, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
47, 185, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 
48, 185, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 
49, 185, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 
50, 185, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 
51, 185, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 
52, 186, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 
53, 186, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 
54, 186, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 
55, 186, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 
56, 186, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 
57, 187, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 
58, 187, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 
59, 187, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 
60, 187, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 
61, 187, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 
62, 188, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 
63, 188, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 
64, 188, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 
65, 188, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 
66, 188, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 
67, 189, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 
68, 189, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 
69, 189, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 
70, 189, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 
71, 189, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 
72, 190, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
73, 190, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
74, 190, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
75, 190, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
76, 190, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
77, 191, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 
78, 191, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 
79, 191, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 
80, 191, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 
81, 192, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
82, 192, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
83, 192, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
84, 192, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
85, 192, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
86, 193, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 
87, 193, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 
88, 193, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 
89, 193, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 
90, 193, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 
91, 194, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
92, 194, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
93, 194, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
94, 194, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
95, 194, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
96, 195, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 
97, 195, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 
98, 195, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 
99, 195, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 
100, 195, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 
101, 196, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
102, 196, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
103, 196, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
104, 196, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
105, 196, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
106, 197, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 
107, 197, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 
108, 197, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 
109, 197, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 
110, 197, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 
111, 198, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
112, 198, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
113, 198, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
114, 198, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
115, 198, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
116, 199, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 
