Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
81, 895, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 
82, 895, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 
83, 893, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
84, 893, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
85, 893, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
86, 893, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
87, 893, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
88, 890, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
89, 890, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
90, 890, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
91, 890, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
92, 890, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
93, 888, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
94, 888, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
95, 888, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
96, 888, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
97, 888, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
98, 886, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
99, 886, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
100, 886, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
101, 886, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
102, 886, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
103, 884, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
104, 884, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
105, 884, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
106, 884, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
107, 884, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
108, 882, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 
109, 882, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 
110, 882, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 
111, 882, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 
112, 882, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 
113, 880, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 
114, 880, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 
115, 880, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 
116, 880, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 
117, 880, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 
118, 878, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
119, 878, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
120, 878, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
121, 878, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
122, 878, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
123, 875, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
124, 875, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
125, 875, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
126, 875, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
127, 873, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 
128, 873, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 
129, 873, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 
130, 873, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 
131, 873, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 
132, 871, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 
133, 871, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 
134, 871, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 
