Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fout1[27..18] =, fout1[27], fout1[26], fout1[25], fout1[24], fout1[23], fout1[22], fout1[21], fout1[20], fout1[19], fout1[18],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group =, fout20, fout21, fout22, fout23, fout24, fout25, fout26, fout27,  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri[9..0] =, tri[9], tri[8], tri[7], tri[6], tri[5], tri[4], tri[3], tri[2], tri[1], tri[0],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], fout1[27..18], fout1[27], fout1[26], fout1[25], fout1[24], fout1[23], fout1[22], fout1[21], fout1[20], fout1[19], fout1[18], Group, fout20, fout21, fout22, fout23, fout24, fout25, fout26, fout27, tri[9..0], tri[9], tri[8], tri[7], tri[6], tri[5], tri[4], tri[3], tri[2], tri[1], tri[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1,559,1,0,0,0,1,0,1,1,1,1,499,0,1,1,1,1,1,0,0,1,1,176,1,0,1,1,0,0,0,0,540,1,0,0,0,0,1,1,1,0,0, 
2,556,1,0,0,0,1,0,1,1,0,0,500,0,1,1,1,1,1,0,1,0,0,48,0,0,1,1,0,0,0,0,538,1,0,0,0,0,1,1,0,1,0, 
3,553,1,0,0,0,1,0,1,0,0,1,501,0,1,1,1,1,1,0,1,0,1,208,1,1,0,1,0,0,0,0,538,1,0,0,0,0,1,1,0,1,0, 
4,553,1,0,0,0,1,0,1,0,0,1,502,0,1,1,1,1,1,0,1,1,0,80,0,1,0,1,0,0,0,0,536,1,0,0,0,0,1,1,0,0,0, 
5,550,1,0,0,0,1,0,0,1,1,0,503,0,1,1,1,1,1,0,1,1,1,144,1,0,0,1,0,0,0,0,534,1,0,0,0,0,1,0,1,1,0, 
6,546,1,0,0,0,1,0,0,0,1,0,503,0,1,1,1,1,1,0,1,1,1,16,0,0,0,1,0,0,0,0,532,1,0,0,0,0,1,0,1,0,0, 
7,543,1,0,0,0,0,1,1,1,1,1,504,0,1,1,1,1,1,1,0,0,0,16,0,0,0,1,0,0,0,0,530,1,0,0,0,0,1,0,0,1,0, 
8,540,1,0,0,0,0,1,1,1,0,0,505,0,1,1,1,1,1,1,0,0,1,224,1,1,1,0,0,0,0,0,528,1,0,0,0,0,1,0,0,0,0, 
9,537,1,0,0,0,0,1,1,0,0,1,506,0,1,1,1,1,1,1,0,1,0,96,0,1,1,0,0,0,0,0,528,1,0,0,0,0,1,0,0,0,0, 
10,537,1,0,0,0,0,1,1,0,0,1,507,0,1,1,1,1,1,1,0,1,1,160,1,0,1,0,0,0,0,0,526,1,0,0,0,0,0,1,1,1,0, 
11,534,1,0,0,0,0,1,0,1,1,0,507,0,1,1,1,1,1,1,0,1,1,32,0,0,1,0,0,0,0,0,524,1,0,0,0,0,0,1,1,0,0, 
12,531,1,0,0,0,0,1,0,0,1,1,508,0,1,1,1,1,1,1,1,0,0,32,0,0,1,0,0,0,0,0,522,1,0,0,0,0,0,1,0,1,0, 
13,528,1,0,0,0,0,1,0,0,0,0,509,0,1,1,1,1,1,1,1,0,1,192,1,1,0,0,0,0,0,0,520,1,0,0,0,0,0,1,0,0,0, 
14,525,1,0,0,0,0,0,1,1,0,1,510,0,1,1,1,1,1,1,1,1,0,64,0,1,0,0,0,0,0,0,520,1,0,0,0,0,0,1,0,0,0, 
15,525,1,0,0,0,0,0,1,1,0,1,511,0,1,1,1,1,1,1,1,1,1,128,1,0,0,0,0,0,0,0,518,1,0,0,0,0,0,0,1,1,0, 
16,521,1,0,0,0,0,0,1,0,0,1,512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,1,0,0,0,0,0,0,1,0,0, 
17,505,0,1,1,1,1,1,1,0,0,1,512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,1,0,0,0,0,0,0,0,1,0, 
18,508,0,1,1,1,1,1,1,1,0,0,513,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0, 
19,511,0,1,1,1,1,1,1,1,1,1,514,1,0,0,0,0,0,0,0,1,0,128,1,0,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0, 
20,511,0,1,1,1,1,1,1,1,1,1,515,1,0,0,0,0,0,0,0,1,1,64,0,1,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0, 
21,511,0,1,1,1,1,1,1,1,1,1,516,1,0,0,0,0,0,0,1,0,0,192,1,1,0,0,0,0,0,0,514,1,0,0,0,0,0,0,0,1,0, 
22,508,0,1,1,1,1,1,1,1,0,0,516,1,0,0,0,0,0,0,1,0,0,32,0,0,1,0,0,0,0,0,516,1,0,0,0,0,0,0,1,0,0, 
23,505,0,1,1,1,1,1,1,0,0,1,517,1,0,0,0,0,0,0,1,0,1,32,0,0,1,0,0,0,0,0,518,1,0,0,0,0,0,0,1,1,0, 
24,502,0,1,1,1,1,1,0,1,1,0,518,1,0,0,0,0,0,0,1,1,0,160,1,0,1,0,0,0,0,0,520,1,0,0,0,0,0,1,0,0,0, 
25,498,0,1,1,1,1,1,0,0,1,0,519,1,0,0,0,0,0,0,1,1,1,96,0,1,1,0,0,0,0,0,520,1,0,0,0,0,0,1,0,0,0, 
26,498,0,1,1,1,1,1,0,0,1,0,520,1,0,0,0,0,0,1,0,0,0,224,1,1,1,0,0,0,0,0,522,1,0,0,0,0,0,1,0,1,0, 
27,495,0,1,1,1,1,0,1,1,1,1,521,1,0,0,0,0,0,1,0,0,1,16,0,0,0,1,0,0,0,0,524,1,0,0,0,0,0,1,1,0,0, 
28,492,0,1,1,1,1,0,1,1,0,0,521,1,0,0,0,0,0,1,0,0,1,144,1,0,0,1,0,0,0,0,526,1,0,0,0,0,0,1,1,1,0, 
29,489,0,1,1,1,1,0,1,0,0,1,522,1,0,0,0,0,0,1,0,1,0,144,1,0,0,1,0,0,0,0,528,1,0,0,0,0,1,0,0,0,0, 
30,486,0,1,1,1,1,0,0,1,1,0,523,1,0,0,0,0,0,1,0,1,1,80,0,1,0,1,0,0,0,0,530,1,0,0,0,0,1,0,0,1,0, 
31,483,0,1,1,1,1,0,0,0,1,1,524,1,0,0,0,0,0,1,1,0,0,208,1,1,0,1,0,0,0,0,530,1,0,0,0,0,1,0,0,1,0, 
32,483,0,1,1,1,1,0,0,0,1,1,525,1,0,0,0,0,0,1,1,0,1,48,0,0,1,1,0,0,0,0,532,1,0,0,0,0,1,0,1,0,0, 
33,480,0,1,1,1,1,0,0,0,0,0,525,1,0,0,0,0,0,1,1,0,1,176,1,0,1,1,0,0,0,0,534,1,0,0,0,0,1,0,1,1,0, 
34,477,0,1,1,1,0,1,1,1,0,1,526,1,0,0,0,0,0,1,1,1,0,176,1,0,1,1,0,0,0,0,536,1,0,0,0,0,1,1,0,0,0, 
35,473,0,1,1,1,0,1,1,0,0,1,527,1,0,0,0,0,0,1,1,1,1,112,0,1,1,1,0,0,0,0,538,1,0,0,0,0,1,1,0,1,0, 
36,470,0,1,1,1,0,1,0,1,1,0,528,1,0,0,0,0,1,0,0,0,0,240,1,1,1,1,0,0,0,0,538,1,0,0,0,0,1,1,0,1,0, 
37,470,0,1,1,1,0,1,0,1,1,0,529,1,0,0,0,0,1,0,0,0,1,8,0,0,0,0,1,0,0,0,540,1,0,0,0,0,1,1,1,0,0, 
38,467,0,1,1,1,0,1,0,0,1,1,530,1,0,0,0,0,1,0,0,1,0,136,1,0,0,0,1,0,0,0,542,1,0,0,0,0,1,1,1,1,0, 
39,464,0,1,1,1,0,1,0,0,0,0,530,1,0,0,0,0,1,0,0,1,0,72,0,1,0,0,1,0,0,0,544,1,0,0,0,1,0,0,0,0,0, 
40,461,0,1,1,1,0,0,1,1,0,1,531,1,0,0,0,0,1,0,0,1,1,72,0,1,0,0,1,0,0,0,546,1,0,0,0,1,0,0,0,1,0, 
41,458,0,1,1,1,0,0,1,0,1,0,532,1,0,0,0,0,1,0,1,0,0,200,1,1,0,0,1,0,0,0,548,1,0,0,0,1,0,0,1,0,0, 
42,455,0,1,1,1,0,0,0,1,1,1,533,1,0,0,0,0,1,0,1,0,1,40,0,0,1,0,1,0,0,0,548,1,0,0,0,1,0,0,1,0,0, 
43,455,0,1,1,1,0,0,0,1,1,1,534,1,0,0,0,0,1,0,1,1,0,168,1,0,1,0,1,0,0,0,550,1,0,0,0,1,0,0,1,1,0, 
44,452,0,1,1,1,0,0,0,1,0,0,534,1,0,0,0,0,1,0,1,1,0,104,0,1,1,0,1,0,0,0,552,1,0,0,0,1,0,1,0,0,0, 
45,448,0,1,1,1,0,0,0,0,0,0,535,1,0,0,0,0,1,0,1,1,1,104,0,1,1,0,1,0,0,0,554,1,0,0,0,1,0,1,0,1,0, 
46,445,0,1,1,0,1,1,1,1,0,1,536,1,0,0,0,0,1,1,0,0,0,232,1,1,1,0,1,0,0,0,556,1,0,0,0,1,0,1,1,0,0, 
47,442,0,1,1,0,1,1,1,0,1,0,537,1,0,0,0,0,1,1,0,0,1,24,0,0,0,1,1,0,0,0,556,1,0,0,0,1,0,1,1,0,0, 
48,442,0,1,1,0,1,1,1,0,1,0,538,1,0,0,0,0,1,1,0,1,0,152,1,0,0,1,1,0,0,0,558,1,0,0,0,1,0,1,1,1,0, 
49,439,0,1,1,0,1,1,0,1,1,1,539,1,0,0,0,0,1,1,0,1,1,88,0,1,0,1,1,0,0,0,560,1,0,0,0,1,1,0,0,0,0, 
50,436,0,1,1,0,1,1,0,1,0,0,539,1,0,0,0,0,1,1,0,1,1,216,1,1,0,1,1,0,0,0,562,1,0,0,0,1,1,0,0,1,0, 
51,433,0,1,1,0,1,1,0,0,0,1,540,1,0,0,0,0,1,1,1,0,0,216,1,1,0,1,1,0,0,0,564,1,0,0,0,1,1,0,1,0,0, 
52,430,0,1,1,0,1,0,1,1,1,0,541,1,0,0,0,0,1,1,1,0,1,56,0,0,1,1,1,0,0,0,566,1,0,0,0,1,1,0,1,1,0, 
53,427,0,1,1,0,1,0,1,0,1,1,542,1,0,0,0,0,1,1,1,1,0,184,1,0,1,1,1,0,0,0,566,1,0,0,0,1,1,0,1,1,0, 
54,427,0,1,1,0,1,0,1,0,1,1,543,1,0,0,0,0,1,1,1,1,1,120,0,1,1,1,1,0,0,0,568,1,0,0,0,1,1,1,0,0,0, 
55,424,0,1,1,0,1,0,1,0,0,0,543,1,0,0,0,0,1,1,1,1,1,248,1,1,1,1,1,0,0,0,570,1,0,0,0,1,1,1,0,1,0, 
56,421,0,1,1,0,1,0,0,1,0,1,544,1,0,0,0,1,0,0,0,0,0,248,1,1,1,1,1,0,0,0,572,1,0,0,0,1,1,1,1,0,0, 
57,418,0,1,1,0,1,0,0,0,1,0,545,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,574,1,0,0,0,1,1,1,1,1,0, 
58,414,0,1,1,0,0,1,1,1,1,0,546,1,0,0,0,1,0,0,0,1,0,132,1,0,0,0,0,1,0,0,574,1,0,0,0,1,1,1,1,1,0, 
59,414,0,1,1,0,0,1,1,1,1,0,547,1,0,0,0,1,0,0,0,1,1,68,0,1,0,0,0,1,0,0,576,1,0,0,1,0,0,0,0,0,0, 
60,411,0,1,1,0,0,1,1,0,1,1,548,1,0,0,0,1,0,0,1,0,0,196,1,1,0,0,0,1,0,0,578,1,0,0,1,0,0,0,0,1,0, 
61,408,0,1,1,0,0,1,1,0,0,0,548,1,0,0,0,1,0,0,1,0,0,36,0,0,1,0,0,1,0,0,580,1,0,0,1,0,0,0,1,0,0, 
62,405,0,1,1,0,0,1,0,1,0,1,549,1,0,0,0,1,0,0,1,0,1,36,0,0,1,0,0,1,0,0,582,1,0,0,1,0,0,0,1,1,0, 
63,402,0,1,1,0,0,1,0,0,1,0,550,1,0,0,0,1,0,0,1,1,0,164,1,0,1,0,0,1,0,0,584,1,0,0,1,0,0,1,0,0,0, 
64,399,0,1,1,0,0,0,1,1,1,1,551,1,0,0,0,1,0,0,1,1,1,100,0,1,1,0,0,1,0,0,584,1,0,0,1,0,0,1,0,0,0, 
65,399,0,1,1,0,0,0,1,1,1,1,552,1,0,0,0,1,0,1,0,0,0,228,1,1,1,0,0,1,0,0,586,1,0,0,1,0,0,1,0,1,0, 
66,396,0,1,1,0,0,0,1,1,0,0,552,1,0,0,0,1,0,1,0,0,0,20,0,0,0,1,0,1,0,0,588,1,0,0,1,0,0,1,1,0,0, 
67,393,0,1,1,0,0,0,1,0,0,1,553,1,0,0,0,1,0,1,0,0,1,20,0,0,0,1,0,1,0,0,590,1,0,0,1,0,0,1,1,1,0, 
68,390,0,1,1,0,0,0,0,1,1,0,554,1,0,0,0,1,0,1,0,1,0,148,1,0,0,1,0,1,0,0,592,1,0,0,1,0,1,0,0,0,0, 
69,387,0,1,1,0,0,0,0,0,1,1,555,1,0,0,0,1,0,1,0,1,1,84,0,1,0,1,0,1,0,0,592,1,0,0,1,0,1,0,0,0,0, 
70,387,0,1,1,0,0,0,0,0,1,1,556,1,0,0,0,1,0,1,1,0,0,212,1,1,0,1,0,1,0,0,594,1,0,0,1,0,1,0,0,1,0, 
71,384,0,1,1,0,0,0,0,0,0,0,557,1,0,0,0,1,0,1,1,0,1,52,0,0,1,1,0,1,0,0,596,1,0,0,1,0,1,0,1,0,0, 
72,381,0,1,0,1,1,1,1,1,0,1,557,1,0,0,0,1,0,1,1,0,1,180,1,0,1,1,0,1,0,0,598,1,0,0,1,0,1,0,1,1,0, 
73,378,0,1,0,1,1,1,1,0,1,0,558,1,0,0,0,1,0,1,1,1,0,180,1,0,1,1,0,1,0,0,600,1,0,0,1,0,1,1,0,0,0, 
74,375,0,1,0,1,1,1,0,1,1,1,559,1,0,0,0,1,0,1,1,1,1,116,0,1,1,1,0,1,0,0,602,1,0,0,1,0,1,1,0,1,0, 
75,372,0,1,0,1,1,1,0,1,0,0,560,1,0,0,0,1,1,0,0,0,0,244,1,1,1,1,0,1,0,0,602,1,0,0,1,0,1,1,0,1,0, 
76,372,0,1,0,1,1,1,0,1,0,0,561,1,0,0,0,1,1,0,0,0,1,12,0,0,0,0,1,1,0,0,604,1,0,0,1,0,1,1,1,0,0, 
77,369,0,1,0,1,1,1,0,0,0,1,562,1,0,0,0,1,1,0,0,1,0,140,1,0,0,0,1,1,0,0,606,1,0,0,1,0,1,1,1,1,0, 
78,366,0,1,0,1,1,0,1,1,1,0,562,1,0,0,0,1,1,0,0,1,0,76,0,1,0,0,1,1,0,0,608,1,0,0,1,1,0,0,0,0,0, 
79,363,0,1,0,1,1,0,1,0,1,1,563,1,0,0,0,1,1,0,0,1,1,76,0,1,0,0,1,1,0,0,610,1,0,0,1,1,0,0,0,1,0, 
80,360,0,1,0,1,1,0,1,0,0,0,564,1,0,0,0,1,1,0,1,0,0,204,1,1,0,0,1,1,0,0,612,1,0,0,1,1,0,0,1,0,0, 
81,357,0,1,0,1,1,0,0,1,0,1,565,1,0,0,0,1,1,0,1,0,1,44,0,0,1,0,1,1,0,0,612,1,0,0,1,1,0,0,1,0,0, 
82,357,0,1,0,1,1,0,0,1,0,1,566,1,0,0,0,1,1,0,1,1,0,172,1,0,1,0,1,1,0,0,614,1,0,0,1,1,0,0,1,1,0, 
83,354,0,1,0,1,1,0,0,0,1,0,566,1,0,0,0,1,1,0,1,1,0,108,0,1,1,0,1,1,0,0,616,1,0,0,1,1,0,1,0,0,0, 
84,351,0,1,0,1,0,1,1,1,1,1,567,1,0,0,0,1,1,0,1,1,1,108,0,1,1,0,1,1,0,0,618,1,0,0,1,1,0,1,0,1,0, 
85,348,0,1,0,1,0,1,1,1,0,0,568,1,0,0,0,1,1,1,0,0,0,236,1,1,1,0,1,1,0,0,620,1,0,0,1,1,0,1,1,0,0, 
86,345,0,1,0,1,0,1,1,0,0,1,569,1,0,0,0,1,1,1,0,0,1,28,0,0,0,1,1,1,0,0,620,1,0,0,1,1,0,1,1,0,0, 
87,345,0,1,0,1,0,1,1,0,0,1,570,1,0,0,0,1,1,1,0,1,0,156,1,0,0,1,1,1,0,0,622,1,0,0,1,1,0,1,1,1,0, 
88,342,0,1,0,1,0,1,0,1,1,0,571,1,0,0,0,1,1,1,0,1,1,92,0,1,0,1,1,1,0,0,624,1,0,0,1,1,1,0,0,0,0, 
89,339,0,1,0,1,0,1,0,0,1,1,571,1,0,0,0,1,1,1,0,1,1,220,1,1,0,1,1,1,0,0,626,1,0,0,1,1,1,0,0,1,0, 
90,336,0,1,0,1,0,1,0,0,0,0,572,1,0,0,0,1,1,1,1,0,0,220,1,1,0,1,1,1,0,0,628,1,0,0,1,1,1,0,1,0,0, 
91,333,0,1,0,1,0,0,1,1,0,1,573,1,0,0,0,1,1,1,1,0,1,60,0,0,1,1,1,1,0,0,630,1,0,0,1,1,1,0,1,1,0, 
92,330,0,1,0,1,0,0,1,0,1,0,574,1,0,0,0,1,1,1,1,1,0,188,1,0,1,1,1,1,0,0,630,1,0,0,1,1,1,0,1,1,0, 
93,330,0,1,0,1,0,0,1,0,1,0,575,1,0,0,0,1,1,1,1,1,1,124,0,1,1,1,1,1,0,0,632,1,0,0,1,1,1,1,0,0,0, 
94,327,0,1,0,1,0,0,0,1,1,1,575,1,0,0,0,1,1,1,1,1,1,252,1,1,1,1,1,1,0,0,634,1,0,0,1,1,1,1,0,1,0, 
95,324,0,1,0,1,0,0,0,1,0,0,576,1,0,0,1,0,0,0,0,0,0,252,1,1,1,1,1,1,0,0,636,1,0,0,1,1,1,1,1,0,0, 
96,321,0,1,0,1,0,0,0,0,0,1,577,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,638,1,0,0,1,1,1,1,1,1,0, 
97,318,0,1,0,0,1,1,1,1,1,0,578,1,0,0,1,0,0,0,0,1,0,130,1,0,0,0,0,0,1,0,638,1,0,0,1,1,1,1,1,1,0, 
98,318,0,1,0,0,1,1,1,1,1,0,579,1,0,0,1,0,0,0,0,1,1,66,0,1,0,0,0,0,1,0,640,1,0,1,0,0,0,0,0,0,0, 
99,316,0,1,0,0,1,1,1,1,0,0,580,1,0,0,1,0,0,0,1,0,0,194,1,1,0,0,0,0,1,0,642,1,0,1,0,0,0,0,0,1,0, 
100,313,0,1,0,0,1,1,1,0,0,1,580,1,0,0,1,0,0,0,1,0,0,34,0,0,1,0,0,0,1,0,644,1,0,1,0,0,0,0,1,0,0, 
101,310,0,1,0,0,1,1,0,1,1,0,581,1,0,0,1,0,0,0,1,0,1,34,0,0,1,0,0,0,1,0,646,1,0,1,0,0,0,0,1,1,0, 
102,307,0,1,0,0,1,1,0,0,1,1,582,1,0,0,1,0,0,0,1,1,0,162,1,0,1,0,0,0,1,0,648,1,0,1,0,0,0,1,0,0,0, 
103,304,0,1,0,0,1,1,0,0,0,0,583,1,0,0,1,0,0,0,1,1,1,98,0,1,1,0,0,0,1,0,648,1,0,1,0,0,0,1,0,0,0, 
104,304,0,1,0,0,1,1,0,0,0,0,584,1,0,0,1,0,0,1,0,0,0,226,1,1,1,0,0,0,1,0,650,1,0,1,0,0,0,1,0,1,0, 
105,301,0,1,0,0,1,0,1,1,0,1,584,1,0,0,1,0,0,1,0,0,0,18,0,0,0,1,0,0,1,0,652,1,0,1,0,0,0,1,1,0,0, 
106,298,0,1,0,0,1,0,1,0,1,0,585,1,0,0,1,0,0,1,0,0,1,18,0,0,0,1,0,0,1,0,654,1,0,1,0,0,0,1,1,1,0, 
107,295,0,1,0,0,1,0,0,1,1,1,586,1,0,0,1,0,0,1,0,1,0,146,1,0,0,1,0,0,1,0,656,1,0,1,0,0,1,0,0,0,0, 
108,293,0,1,0,0,1,0,0,1,0,1,587,1,0,0,1,0,0,1,0,1,1,82,0,1,0,1,0,0,1,0,656,1,0,1,0,0,1,0,0,0,0, 
109,293,0,1,0,0,1,0,0,1,0,1,588,1,0,0,1,0,0,1,1,0,0,210,1,1,0,1,0,0,1,0,658,1,0,1,0,0,1,0,0,1,0, 
110,290,0,1,0,0,1,0,0,0,1,0,589,1,0,0,1,0,0,1,1,0,1,50,0,0,1,1,0,0,1,0,660,1,0,1,0,0,1,0,1,0,0, 
111,287,0,1,0,0,0,1,1,1,1,1,589,1,0,0,1,0,0,1,1,0,1,178,1,0,1,1,0,0,1,0,662,1,0,1,0,0,1,0,1,1,0, 
112,284,0,1,0,0,0,1,1,1,0,0,590,1,0,0,1,0,0,1,1,1,0,178,1,0,1,1,0,0,1,0,664,1,0,1,0,0,1,1,0,0,0, 
113,281,0,1,0,0,0,1,1,0,0,1,591,1,0,0,1,0,0,1,1,1,1,114,0,1,1,1,0,0,1,0,666,1,0,1,0,0,1,1,0,1,0, 
114,279,0,1,0,0,0,1,0,1,1,1,592,1,0,0,1,0,1,0,0,0,0,242,1,1,1,1,0,0,1,0,666,1,0,1,0,0,1,1,0,1,0, 
115,279,0,1,0,0,0,1,0,1,1,1,593,1,0,0,1,0,1,0,0,0,1,10,0,0,0,0,1,0,1,0,668,1,0,1,0,0,1,1,1,0,0, 
116,276,0,1,0,0,0,1,0,1,0,0,593,1,0,0,1,0,1,0,0,0,1,138,1,0,0,0,1,0,1,0,670,1,0,1,0,0,1,1,1,1,0, 
117,273,0,1,0,0,0,1,0,0,0,1,594,1,0,0,1,0,1,0,0,1,0,138,1,0,0,0,1,0,1,0,672,1,0,1,0,1,0,0,0,0,0, 
118,270,0,1,0,0,0,0,1,1,1,0,595,1,0,0,1,0,1,0,0,1,1,74,0,1,0,0,1,0,1,0,674,1,0,1,0,1,0,0,0,1,0, 
119,267,0,1,0,0,0,0,1,0,1,1,596,1,0,0,1,0,1,0,1,0,0,202,1,1,0,0,1,0,1,0,674,1,0,1,0,1,0,0,0,1,0, 
120,267,0,1,0,0,0,0,1,0,1,1,597,1,0,0,1,0,1,0,1,0,1,42,0,0,1,0,1,0,1,0,676,1,0,1,0,1,0,0,1,0,0, 
121,265,0,1,0,0,0,0,1,0,0,1,598,1,0,0,1,0,1,0,1,1,0,170,1,0,1,0,1,0,1,0,678,1,0,1,0,1,0,0,1,1,0, 
122,262,0,1,0,0,0,0,0,1,1,0,598,1,0,0,1,0,1,0,1,1,0,106,0,1,1,0,1,0,1,0,680,1,0,1,0,1,0,1,0,0,0, 
123,259,0,1,0,0,0,0,0,0,1,1,599,1,0,0,1,0,1,0,1,1,1,106,0,1,1,0,1,0,1,0,682,1,0,1,0,1,0,1,0,1,0, 
124,257,0,1,0,0,0,0,0,0,0,1,600,1,0,0,1,0,1,1,0,0,0,234,1,1,1,0,1,0,1,0,684,1,0,1,0,1,0,1,1,0,0, 
125,254,0,0,1,1,1,1,1,1,1,0,601,1,0,0,1,0,1,1,0,0,1,26,0,0,0,1,1,0,1,0,684,1,0,1,0,1,0,1,1,0,0, 
126,254,0,0,1,1,1,1,1,1,1,0,602,1,0,0,1,0,1,1,0,1,0,154,1,0,0,1,1,0,1,0,686,1,0,1,0,1,0,1,1,1,0, 
127,251,0,0,1,1,1,1,1,0,1,1,602,1,0,0,1,0,1,1,0,1,0,90,0,1,0,1,1,0,1,0,688,1,0,1,0,1,1,0,0,0,0, 
128,248,0,0,1,1,1,1,1,0,0,0,603,1,0,0,1,0,1,1,0,1,1,90,0,1,0,1,1,0,1,0,690,1,0,1,0,1,1,0,0,1,0, 
129,246,0,0,1,1,1,1,0,1,1,0,604,1,0,0,1,0,1,1,1,0,0,218,1,1,0,1,1,0,1,0,692,1,0,1,0,1,1,0,1,0,0, 
130,243,0,0,1,1,1,1,0,0,1,1,605,1,0,0,1,0,1,1,1,0,1,58,0,0,1,1,1,0,1,0,692,1,0,1,0,1,1,0,1,0,0, 
131,243,0,0,1,1,1,1,0,0,1,1,606,1,0,0,1,0,1,1,1,1,0,186,1,0,1,1,1,0,1,0,694,1,0,1,0,1,1,0,1,1,0, 
132,240,0,0,1,1,1,1,0,0,0,0,607,1,0,0,1,0,1,1,1,1,1,122,0,1,1,1,1,0,1,0,696,1,0,1,0,1,1,1,0,0,0, 
133,238,0,0,1,1,1,0,1,1,1,0,607,1,0,0,1,0,1,1,1,1,1,250,1,1,1,1,1,0,1,0,698,1,0,1,0,1,1,1,0,1,0, 
134,235,0,0,1,1,1,0,1,0,1,1,608,1,0,0,1,1,0,0,0,0,0,250,1,1,1,1,1,0,1,0,700,1,0,1,0,1,1,1,1,0,0, 
135,232,0,0,1,1,1,0,1,0,0,0,609,1,0,0,1,1,0,0,0,0,1,6,0,0,0,0,0,1,1,0,702,1,0,1,0,1,1,1,1,1,0, 
136,230,0,0,1,1,1,0,0,1,1,0,610,1,0,0,1,1,0,0,0,1,0,134,1,0,0,0,0,1,1,0,702,1,0,1,0,1,1,1,1,1,0, 
137,230,0,0,1,1,1,0,0,1,1,0,611,1,0,0,1,1,0,0,0,1,1,70,0,1,0,0,0,1,1,0,704,1,0,1,1,0,0,0,0,0,0, 
138,227,0,0,1,1,1,0,0,0,1,1,611,1,0,0,1,1,0,0,0,1,1,198,1,1,0,0,0,1,1,0,706,1,0,1,1,0,0,0,0,1,0, 
139,225,0,0,1,1,1,0,0,0,0,1,612,1,0,0,1,1,0,0,1,0,0,198,1,1,0,0,0,1,1,0,708,1,0,1,1,0,0,0,1,0,0, 
140,222,0,0,1,1,0,1,1,1,1,0,613,1,0,0,1,1,0,0,1,0,1,38,0,0,1,0,0,1,1,0,710,1,0,1,1,0,0,0,1,1,0, 
141,219,0,0,1,1,0,1,1,0,1,1,614,1,0,0,1,1,0,0,1,1,0,166,1,0,1,0,0,1,1,0,710,1,0,1,1,0,0,0,1,1,0, 
142,219,0,0,1,1,0,1,1,0,1,1,615,1,0,0,1,1,0,0,1,1,1,102,0,1,1,0,0,1,1,0,712,1,0,1,1,0,0,1,0,0,0, 
143,217,0,0,1,1,0,1,1,0,0,1,616,1,0,0,1,1,0,1,0,0,0,230,1,1,1,0,0,1,1,0,714,1,0,1,1,0,0,1,0,1,0, 
144,214,0,0,1,1,0,1,0,1,1,0,616,1,0,0,1,1,0,1,0,0,0,22,0,0,0,1,0,1,1,0,716,1,0,1,1,0,0,1,1,0,0, 
145,212,0,0,1,1,0,1,0,1,0,0,617,1,0,0,1,1,0,1,0,0,1,22,0,0,0,1,0,1,1,0,718,1,0,1,1,0,0,1,1,1,0, 
146,209,0,0,1,1,0,1,0,0,0,1,618,1,0,0,1,1,0,1,0,1,0,150,1,0,0,1,0,1,1,0,720,1,0,1,1,0,1,0,0,0,0, 
147,207,0,0,1,1,0,0,1,1,1,1,619,1,0,0,1,1,0,1,0,1,1,86,0,1,0,1,0,1,1,0,720,1,0,1,1,0,1,0,0,0,0, 
148,207,0,0,1,1,0,0,1,1,1,1,620,1,0,0,1,1,0,1,1,0,0,214,1,1,0,1,0,1,1,0,722,1,0,1,1,0,1,0,0,1,0, 
