Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
81, 677, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 
82, 677, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 
83, 678, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
84, 678, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
85, 678, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
86, 678, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
87, 678, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
88, 679, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 
89, 679, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 
90, 679, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 
91, 679, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 
92, 679, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 
93, 680, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
94, 680, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
95, 680, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
96, 680, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
97, 680, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
98, 681, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 
99, 681, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 
100, 681, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 
101, 681, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 
102, 681, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 
103, 682, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
104, 682, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
105, 682, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
106, 682, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
107, 682, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
108, 683, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 
109, 683, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 
110, 683, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 
111, 683, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 
112, 683, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 
