Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
81, 515, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
82, 516, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
83, 516, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
84, 516, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
85, 517, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 
86, 517, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 
87, 518, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
88, 518, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
89, 518, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
90, 519, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
91, 519, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
92, 520, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
93, 520, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
94, 520, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
95, 521, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
96, 521, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
97, 522, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 
98, 522, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 
99, 522, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 
100, 523, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 
101, 523, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 
102, 524, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 
103, 524, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 
104, 525, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
105, 525, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
106, 525, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
107, 526, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 
108, 526, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 
109, 527, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
110, 527, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
111, 527, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
112, 528, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
113, 528, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
114, 529, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 
115, 529, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 
116, 529, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 
117, 530, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 
118, 530, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 
119, 531, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 
120, 531, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 
121, 532, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 
122, 532, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 
123, 532, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 
124, 533, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 
125, 533, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 
126, 534, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
127, 534, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
128, 534, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
129, 535, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 
130, 535, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 
131, 536, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 
132, 536, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 
133, 536, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 
134, 537, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 
135, 537, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 
136, 538, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 
137, 538, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 
138, 538, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 
139, 539, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 
140, 539, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 
141, 540, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 
142, 540, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 
143, 541, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 
144, 541, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 
145, 541, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 
146, 542, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 
147, 542, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 
148, 543, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
149, 543, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
150, 543, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
151, 544, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
152, 544, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
153, 545, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
154, 545, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
155, 545, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
156, 546, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
157, 546, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
158, 547, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 
159, 547, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 
160, 547, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 
161, 548, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 
162, 548, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 
163, 549, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 
164, 549, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 
165, 550, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
166, 550, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
167, 550, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
168, 551, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 
169, 551, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 
170, 552, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
