Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
81, 354, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
82, 354, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
83, 351, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 
84, 351, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 
85, 351, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 
86, 351, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 
87, 351, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 
88, 348, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
89, 348, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
90, 348, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
91, 348, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
92, 345, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
93, 345, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
94, 345, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
95, 345, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
96, 345, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
97, 342, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
98, 342, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
99, 342, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
100, 342, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
101, 342, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
102, 339, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 
103, 339, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 
104, 339, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 
105, 339, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 
106, 339, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 
107, 336, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 
108, 336, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 
109, 336, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 
110, 336, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 
111, 336, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 
112, 333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 
113, 333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 
114, 333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 
115, 333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 
116, 333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 
117, 330, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 
118, 330, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 
119, 330, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 
120, 330, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 
121, 330, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 
122, 327, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 
123, 327, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 
124, 327, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 
125, 327, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 
126, 327, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 
127, 324, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
128, 324, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
129, 324, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
130, 324, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
131, 324, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
132, 321, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 
133, 321, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 
134, 321, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 
135, 321, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 
136, 318, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
137, 318, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
138, 318, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
139, 318, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
140, 318, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
141, 316, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 
142, 316, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 
143, 316, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 
144, 316, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 
145, 316, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 
146, 313, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 
147, 313, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 
148, 313, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 
149, 313, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 
150, 313, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 
151, 310, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
152, 310, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
153, 310, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
154, 310, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
155, 310, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
156, 307, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
157, 307, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
158, 307, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
159, 307, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
160, 307, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
161, 304, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
162, 304, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
163, 304, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
164, 304, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
165, 304, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
166, 301, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 
167, 301, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 
168, 301, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 
169, 301, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 
170, 301, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 
171, 298, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 
172, 298, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 
173, 298, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 
174, 298, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 
175, 295, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 
176, 295, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 
177, 295, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 
178, 295, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 
179, 295, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 
180, 293, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 
181, 293, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 
182, 293, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 
183, 293, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 
184, 293, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 
185, 290, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 
