Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
81, 139, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 
82, 141, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 
83, 141, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 
84, 141, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 
85, 143, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 
86, 143, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 
87, 145, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 
88, 145, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 
89, 145, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 
90, 147, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 
91, 147, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 
92, 150, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
93, 150, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
94, 150, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
95, 152, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
96, 152, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
97, 154, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
98, 154, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
99, 156, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
100, 156, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
101, 156, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
102, 159, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 
103, 159, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 
104, 161, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 
105, 161, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 
106, 161, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 
107, 163, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 
108, 163, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 
109, 165, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 
110, 165, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 
111, 165, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 
112, 168, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
113, 168, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
114, 170, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
115, 170, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
116, 170, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
117, 172, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 
118, 172, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 
119, 175, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 
120, 175, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 
121, 177, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
122, 177, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
123, 177, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
124, 180, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
125, 180, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
126, 182, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
127, 182, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
128, 182, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
129, 184, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
130, 184, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
131, 187, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 
132, 187, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 
133, 187, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 
134, 189, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 
135, 189, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 
136, 192, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
137, 192, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
138, 194, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
139, 194, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
140, 194, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
141, 196, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
142, 196, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
143, 199, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 
144, 199, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 
145, 199, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 
146, 201, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 
147, 201, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 
148, 204, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
149, 204, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
150, 204, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
151, 206, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 
152, 206, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 
153, 209, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 
154, 209, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 
155, 209, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 
156, 211, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 
157, 211, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 
158, 214, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 
159, 214, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 
160, 217, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 
161, 217, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 
162, 217, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 
163, 219, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 
164, 219, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 
165, 222, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 
166, 222, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 
167, 222, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 
168, 224, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
169, 224, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
170, 227, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 
171, 227, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 
172, 227, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 
173, 229, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 
174, 229, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 
175, 232, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
176, 232, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
177, 232, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
178, 235, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 
179, 235, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 
180, 237, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 
181, 237, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 
182, 240, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
183, 240, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
184, 240, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
185, 243, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 
186, 243, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 
187, 245, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 
188, 245, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 
189, 245, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 
190, 248, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 
191, 248, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 
192, 251, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 
193, 251, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 
194, 251, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 
195, 253, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 
196, 253, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 
197, 256, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
198, 256, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
199, 256, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
200, 259, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 
201, 259, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 
202, 262, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 
203, 262, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 
204, 264, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 
205, 264, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 
206, 264, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 
207, 267, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 
208, 267, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 
209, 270, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 
210, 270, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 
211, 270, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 
212, 273, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 
213, 273, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 
214, 275, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 
215, 275, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 
216, 275, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 
217, 278, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 
218, 278, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 
219, 281, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 
220, 281, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 
221, 284, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 
222, 284, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 
223, 284, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 
224, 287, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 
225, 287, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 
226, 289, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 
227, 289, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 
228, 289, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 
229, 292, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 
230, 292, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 
231, 295, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 
232, 295, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 
233, 295, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 
234, 298, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 
