Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
81, 811, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 
82, 809, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 
83, 806, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 
84, 804, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 
85, 801, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 
86, 801, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 
87, 798, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 
88, 796, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 
89, 793, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 
90, 791, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 
91, 788, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 
92, 788, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 
93, 785, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 
94, 783, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 
95, 780, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 
96, 777, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 
97, 777, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 
98, 775, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 
99, 772, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 
100, 769, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 
101, 766, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 
102, 764, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 
103, 764, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 
104, 761, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 
105, 758, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 
106, 756, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 
107, 753, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 
108, 753, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 
109, 750, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 
110, 747, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 
111, 744, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
112, 742, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
113, 739, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 
114, 739, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 
115, 736, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
116, 733, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 
117, 730, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 
118, 728, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 
119, 728, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 
120, 725, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 
121, 722, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 
122, 719, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 
123, 716, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
124, 713, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 
125, 713, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 
126, 710, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
127, 707, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 
128, 705, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 
129, 702, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
130, 702, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
131, 699, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 
132, 696, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
133, 693, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 
134, 690, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
135, 687, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 
136, 687, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 
137, 684, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 
138, 681, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 
139, 678, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
140, 675, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 
141, 672, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
142, 672, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
143, 669, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 
144, 666, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
145, 663, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 
146, 660, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 
147, 660, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 
148, 657, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 
149, 654, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 
150, 651, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 
151, 648, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
152, 645, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 
153, 645, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 
154, 642, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
155, 639, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 
156, 636, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 
157, 633, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 
158, 633, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 
159, 630, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 
160, 627, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 
161, 624, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
162, 621, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 
163, 618, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 
164, 618, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 
165, 615, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 
166, 612, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
167, 609, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
168, 605, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 
169, 605, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 
170, 602, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
171, 599, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 
172, 596, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 
173, 593, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 
174, 590, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 
175, 590, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 
176, 587, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 
177, 584, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 
178, 581, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 
179, 578, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 
180, 578, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 
181, 575, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 
182, 571, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
183, 568, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
184, 565, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 
185, 562, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
186, 562, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
187, 559, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 
188, 556, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 
189, 553, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
190, 550, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
191, 550, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
192, 546, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
193, 543, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
194, 540, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 
195, 537, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 
196, 534, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
197, 534, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
198, 531, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 
199, 528, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
200, 525, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
201, 521, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
202, 521, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
203, 505, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 
204, 508, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 
205, 511, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
206, 511, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
207, 508, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 
208, 508, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 
209, 505, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 
