Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fout1[27..18] =, fout1[27], fout1[26], fout1[25], fout1[24], fout1[23], fout1[22], fout1[21], fout1[20], fout1[19], fout1[18],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group =, fout20, fout21, fout22, fout23, fout24, fout25, fout26, fout27,  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri[9..0] =, tri[9], tri[8], tri[7], tri[6], tri[5], tri[4], tri[3], tri[2], tri[1], tri[0],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], fout1[27..18], fout1[27], fout1[26], fout1[25], fout1[24], fout1[23], fout1[22], fout1[21], fout1[20], fout1[19], fout1[18], Group, fout20, fout21, fout22, fout23, fout24, fout25, fout26, fout27, tri[9..0], tri[9], tri[8], tri[7], tri[6], tri[5], tri[4], tri[3], tri[2], tri[1], tri[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
27,558,1,0,0,0,1,0,1,1,1,0,558,1,0,0,0,1,0,1,1,1,0,116,0,1,1,1,0,1,0,0,602,1,0,0,1,0,1,1,0,1,0, 
28,559,1,0,0,0,1,0,1,1,1,1,559,1,0,0,0,1,0,1,1,1,1,116,0,1,1,1,0,1,0,0,602,1,0,0,1,0,1,1,0,1,0, 
29,560,1,0,0,0,1,1,0,0,0,0,560,1,0,0,0,1,1,0,0,0,0,244,1,1,1,1,0,1,0,0,604,1,0,0,1,0,1,1,1,0,0, 
30,560,1,0,0,0,1,1,0,0,0,0,560,1,0,0,0,1,1,0,0,0,0,12,0,0,0,0,1,1,0,0,604,1,0,0,1,0,1,1,1,0,0, 
31,561,1,0,0,0,1,1,0,0,0,1,561,1,0,0,0,1,1,0,0,0,1,12,0,0,0,0,1,1,0,0,606,1,0,0,1,0,1,1,1,1,0, 
32,561,1,0,0,0,1,1,0,0,0,1,561,1,0,0,0,1,1,0,0,0,1,140,1,0,0,0,1,1,0,0,608,1,0,0,1,1,0,0,0,0,0, 
33,562,1,0,0,0,1,1,0,0,1,0,562,1,0,0,0,1,1,0,0,1,0,140,1,0,0,0,1,1,0,0,608,1,0,0,1,1,0,0,0,0,0, 
34,563,1,0,0,0,1,1,0,0,1,1,563,1,0,0,0,1,1,0,0,1,1,76,0,1,0,0,1,1,0,0,610,1,0,0,1,1,0,0,0,1,0, 
35,563,1,0,0,0,1,1,0,0,1,1,563,1,0,0,0,1,1,0,0,1,1,204,1,1,0,0,1,1,0,0,610,1,0,0,1,1,0,0,0,1,0, 
36,564,1,0,0,0,1,1,0,1,0,0,564,1,0,0,0,1,1,0,1,0,0,204,1,1,0,0,1,1,0,0,612,1,0,0,1,1,0,0,1,0,0, 
37,565,1,0,0,0,1,1,0,1,0,1,565,1,0,0,0,1,1,0,1,0,1,44,0,0,1,0,1,1,0,0,614,1,0,0,1,1,0,0,1,1,0, 
38,565,1,0,0,0,1,1,0,1,0,1,565,1,0,0,0,1,1,0,1,0,1,172,1,0,1,0,1,1,0,0,614,1,0,0,1,1,0,0,1,1,0, 
39,566,1,0,0,0,1,1,0,1,1,0,566,1,0,0,0,1,1,0,1,1,0,172,1,0,1,0,1,1,0,0,616,1,0,0,1,1,0,1,0,0,0, 
40,566,1,0,0,0,1,1,0,1,1,0,566,1,0,0,0,1,1,0,1,1,0,108,0,1,1,0,1,1,0,0,618,1,0,0,1,1,0,1,0,1,0, 
41,567,1,0,0,0,1,1,0,1,1,1,567,1,0,0,0,1,1,0,1,1,1,108,0,1,1,0,1,1,0,0,618,1,0,0,1,1,0,1,0,1,0, 
42,568,1,0,0,0,1,1,1,0,0,0,568,1,0,0,0,1,1,1,0,0,0,236,1,1,1,0,1,1,0,0,620,1,0,0,1,1,0,1,1,0,0, 
43,568,1,0,0,0,1,1,1,0,0,0,568,1,0,0,0,1,1,1,0,0,0,28,0,0,0,1,1,1,0,0,620,1,0,0,1,1,0,1,1,0,0, 
44,569,1,0,0,0,1,1,1,0,0,1,569,1,0,0,0,1,1,1,0,0,1,28,0,0,0,1,1,1,0,0,622,1,0,0,1,1,0,1,1,1,0, 
45,569,1,0,0,0,1,1,1,0,0,1,569,1,0,0,0,1,1,1,0,0,1,156,1,0,0,1,1,1,0,0,624,1,0,0,1,1,1,0,0,0,0, 
46,570,1,0,0,0,1,1,1,0,1,0,570,1,0,0,0,1,1,1,0,1,0,156,1,0,0,1,1,1,0,0,624,1,0,0,1,1,1,0,0,0,0, 
47,571,1,0,0,0,1,1,1,0,1,1,571,1,0,0,0,1,1,1,0,1,1,92,0,1,0,1,1,1,0,0,626,1,0,0,1,1,1,0,0,1,0, 
48,571,1,0,0,0,1,1,1,0,1,1,571,1,0,0,0,1,1,1,0,1,1,220,1,1,0,1,1,1,0,0,626,1,0,0,1,1,1,0,0,1,0, 
49,572,1,0,0,0,1,1,1,1,0,0,572,1,0,0,0,1,1,1,1,0,0,220,1,1,0,1,1,1,0,0,628,1,0,0,1,1,1,0,1,0,0, 
50,573,1,0,0,0,1,1,1,1,0,1,573,1,0,0,0,1,1,1,1,0,1,60,0,0,1,1,1,1,0,0,630,1,0,0,1,1,1,0,1,1,0, 
51,573,1,0,0,0,1,1,1,1,0,1,573,1,0,0,0,1,1,1,1,0,1,188,1,0,1,1,1,1,0,0,630,1,0,0,1,1,1,0,1,1,0, 
52,574,1,0,0,0,1,1,1,1,1,0,574,1,0,0,0,1,1,1,1,1,0,188,1,0,1,1,1,1,0,0,632,1,0,0,1,1,1,1,0,0,0, 
53,574,1,0,0,0,1,1,1,1,1,0,574,1,0,0,0,1,1,1,1,1,0,124,0,1,1,1,1,1,0,0,634,1,0,0,1,1,1,1,0,1,0, 
54,575,1,0,0,0,1,1,1,1,1,1,575,1,0,0,0,1,1,1,1,1,1,124,0,1,1,1,1,1,0,0,634,1,0,0,1,1,1,1,0,1,0, 
55,576,1,0,0,1,0,0,0,0,0,0,576,1,0,0,1,0,0,0,0,0,0,252,1,1,1,1,1,1,0,0,636,1,0,0,1,1,1,1,1,0,0, 
56,576,1,0,0,1,0,0,0,0,0,0,576,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,636,1,0,0,1,1,1,1,1,0,0, 
57,577,1,0,0,1,0,0,0,0,0,1,577,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,638,1,0,0,1,1,1,1,1,1,0, 
58,577,1,0,0,1,0,0,0,0,0,1,577,1,0,0,1,0,0,0,0,0,1,130,1,0,0,0,0,0,1,0,640,1,0,1,0,0,0,0,0,0,0, 
59,578,1,0,0,1,0,0,0,0,1,0,578,1,0,0,1,0,0,0,0,1,0,130,1,0,0,0,0,0,1,0,640,1,0,1,0,0,0,0,0,0,0, 
60,579,1,0,0,1,0,0,0,0,1,1,579,1,0,0,1,0,0,0,0,1,1,66,0,1,0,0,0,0,1,0,642,1,0,1,0,0,0,0,0,1,0, 
61,579,1,0,0,1,0,0,0,0,1,1,579,1,0,0,1,0,0,0,0,1,1,194,1,1,0,0,0,0,1,0,642,1,0,1,0,0,0,0,0,1,0, 
62,580,1,0,0,1,0,0,0,1,0,0,580,1,0,0,1,0,0,0,1,0,0,194,1,1,0,0,0,0,1,0,644,1,0,1,0,0,0,0,1,0,0, 
63,581,1,0,0,1,0,0,0,1,0,1,581,1,0,0,1,0,0,0,1,0,1,34,0,0,1,0,0,0,1,0,646,1,0,1,0,0,0,0,1,1,0, 
64,581,1,0,0,1,0,0,0,1,0,1,581,1,0,0,1,0,0,0,1,0,1,162,1,0,1,0,0,0,1,0,646,1,0,1,0,0,0,0,1,1,0, 
65,582,1,0,0,1,0,0,0,1,1,0,582,1,0,0,1,0,0,0,1,1,0,162,1,0,1,0,0,0,1,0,648,1,0,1,0,0,0,1,0,0,0, 
66,582,1,0,0,1,0,0,0,1,1,0,582,1,0,0,1,0,0,0,1,1,0,98,0,1,1,0,0,0,1,0,650,1,0,1,0,0,0,1,0,1,0, 
67,583,1,0,0,1,0,0,0,1,1,1,583,1,0,0,1,0,0,0,1,1,1,98,0,1,1,0,0,0,1,0,650,1,0,1,0,0,0,1,0,1,0, 
68,584,1,0,0,1,0,0,1,0,0,0,584,1,0,0,1,0,0,1,0,0,0,226,1,1,1,0,0,0,1,0,652,1,0,1,0,0,0,1,1,0,0, 
69,584,1,0,0,1,0,0,1,0,0,0,584,1,0,0,1,0,0,1,0,0,0,18,0,0,0,1,0,0,1,0,652,1,0,1,0,0,0,1,1,0,0, 
70,585,1,0,0,1,0,0,1,0,0,1,585,1,0,0,1,0,0,1,0,0,1,18,0,0,0,1,0,0,1,0,654,1,0,1,0,0,0,1,1,1,0, 
71,585,1,0,0,1,0,0,1,0,0,1,585,1,0,0,1,0,0,1,0,0,1,146,1,0,0,1,0,0,1,0,656,1,0,1,0,0,1,0,0,0,0, 
72,586,1,0,0,1,0,0,1,0,1,0,586,1,0,0,1,0,0,1,0,1,0,146,1,0,0,1,0,0,1,0,656,1,0,1,0,0,1,0,0,0,0, 
73,587,1,0,0,1,0,0,1,0,1,1,587,1,0,0,1,0,0,1,0,1,1,82,0,1,0,1,0,0,1,0,658,1,0,1,0,0,1,0,0,1,0, 
74,587,1,0,0,1,0,0,1,0,1,1,587,1,0,0,1,0,0,1,0,1,1,210,1,1,0,1,0,0,1,0,658,1,0,1,0,0,1,0,0,1,0, 
75,588,1,0,0,1,0,0,1,1,0,0,588,1,0,0,1,0,0,1,1,0,0,210,1,1,0,1,0,0,1,0,660,1,0,1,0,0,1,0,1,0,0, 
