Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
81, 707, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 
82, 710, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
83, 710, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
84, 713, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 
85, 716, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
86, 719, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 
87, 722, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 
88, 725, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 
89, 725, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 
90, 728, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 
91, 730, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 
92, 733, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 
93, 736, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
94, 736, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
95, 739, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 
96, 742, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
97, 744, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
98, 747, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 
99, 750, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 
100, 750, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 
101, 753, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 
102, 756, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 
103, 758, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 
104, 761, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 
105, 764, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 
106, 764, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 
107, 766, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 
108, 769, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 
109, 772, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 
110, 775, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 
111, 775, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 
112, 777, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 
113, 780, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 
114, 783, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 
115, 785, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 
116, 788, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 
117, 788, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 
118, 791, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 
119, 793, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 
120, 796, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 
121, 798, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 
122, 798, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 
123, 801, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 
124, 804, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 
125, 806, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 
126, 809, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 
127, 811, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 
128, 811, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 
129, 814, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 
130, 816, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
131, 819, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
132, 821, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 
133, 821, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 
134, 824, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
135, 826, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 
136, 829, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 
137, 831, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 
138, 834, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 
139, 834, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 
140, 836, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
141, 838, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 
142, 841, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 
143, 843, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 
144, 843, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 
145, 846, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 
146, 848, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 
147, 850, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 
148, 853, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 
149, 855, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 
150, 855, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 
151, 857, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
152, 860, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
153, 862, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 
154, 864, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 
155, 864, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 
156, 866, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
157, 869, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 
158, 871, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 
159, 873, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 
160, 875, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
161, 875, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
162, 878, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
163, 880, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 
164, 882, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 
165, 884, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
166, 884, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
167, 886, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
168, 888, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
169, 890, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
170, 893, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
171, 895, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 
172, 895, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 
173, 897, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 
174, 899, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 
175, 901, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
176, 903, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 
177, 903, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 
178, 905, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 
179, 907, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 
180, 909, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 
181, 911, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 
182, 913, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 
183, 913, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 
184, 915, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 
185, 917, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 
186, 919, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 
187, 920, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
188, 922, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
189, 922, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
190, 924, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 
191, 926, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
